dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1876-09-01,23.644,1.324,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-10-01,24.959,1.228,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-11-01,25.252,1.288,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-12-01,25.253,1.147,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-01-01,25.845,1.636,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-02-01,26.925,1.555,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-03-01,27.607,1.386,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-04-01,26.978,0.991,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-05-01,26.21,0.769,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-06-01,25.217,1.513,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-07-01,24.578,0.793,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-08-01,24.14,0.916,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-09-01,24.569,0.747,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-10-01,25.363,0.858,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-11-01,26.413,0.938,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-12-01,26.313,2.066,Abidjan,Côte D'Ivoire,5.63N,3.23W
1878-01-01,26.433,1.293,Abidjan,Côte D'Ivoire,5.63N,3.23W
1878-02-01,27.785,1.404,Abidjan,Côte D'Ivoire,5.63N,3.23W
1878-03-01,28.674,1.693,Abidjan,Côte D'Ivoire,5.63N,3.23W
1878-04-01,27.558,1.388,Abidjan,Côte D'Ivoire,5.63N,3.23W
1878-05-01,26.078,0.841,Abidjan,Côte D'Ivoire,5.63N,3.23W
1878-06-01,25.087,2.164,Abidjan,Côte D'Ivoire,5.63N,3.23W
1878-07-01,23.668,2.186,Abidjan,Côte D'Ivoire,5.63N,3.23W
1878-08-01,23.475,1.602,Abidjan,Côte D'Ivoire,5.63N,3.23W
1878-09-01,24.348,0.787,Abidjan,Côte D'Ivoire,5.63N,3.23W
1878-10-01,25.398,0.736,Abidjan,Côte D'Ivoire,5.63N,3.23W
1878-11-01,26.207,1.225,Abidjan,Côte D'Ivoire,5.63N,3.23W
1878-12-01,25.781,1.177,Abidjan,Côte D'Ivoire,5.63N,3.23W
1879-01-01,25.803,1.417,Abidjan,Côte D'Ivoire,5.63N,3.23W
1879-02-01,27.402,0.978,Abidjan,Côte D'Ivoire,5.63N,3.23W
1879-03-01,27.148,1.129,Abidjan,Côte D'Ivoire,5.63N,3.23W
1879-04-01,26.662,1.182,Abidjan,Côte D'Ivoire,5.63N,3.23W
1879-05-01,25.592,1.319,Abidjan,Côte D'Ivoire,5.63N,3.23W
1879-06-01,25.147,0.919,Abidjan,Côte D'Ivoire,5.63N,3.23W
1879-07-01,23.265,1.804,Abidjan,Côte D'Ivoire,5.63N,3.23W
1879-08-01,22.912,1.316,Abidjan,Côte D'Ivoire,5.63N,3.23W
1879-09-01,23.926,0.847,Abidjan,Côte D'Ivoire,5.63N,3.23W
1879-10-01,25.197,0.985,Abidjan,Côte D'Ivoire,5.63N,3.23W
1879-11-01,25.897,0.885,Abidjan,Côte D'Ivoire,5.63N,3.23W
1879-12-01,25.657,1.285,Abidjan,Côte D'Ivoire,5.63N,3.23W
1880-01-01,26.109,1.095,Abidjan,Côte D'Ivoire,5.63N,3.23W
1880-02-01,26.922,1.249,Abidjan,Côte D'Ivoire,5.63N,3.23W
1880-03-01,27.514,1.204,Abidjan,Côte D'Ivoire,5.63N,3.23W
1880-04-01,26.65,0.955,Abidjan,Côte D'Ivoire,5.63N,3.23W
1880-05-01,26.566,1.262,Abidjan,Côte D'Ivoire,5.63N,3.23W
1880-06-01,25.232,1.027,Abidjan,Côte D'Ivoire,5.63N,3.23W
1880-07-01,24.614,1.069,Abidjan,Côte D'Ivoire,5.63N,3.23W
1880-08-01,24.542,1.534,Abidjan,Côte D'Ivoire,5.63N,3.23W
1880-09-01,24.199,0.91,Abidjan,Côte D'Ivoire,5.63N,3.23W
1880-10-01,25.99,1.975,Abidjan,Côte D'Ivoire,5.63N,3.23W
1880-11-01,26.607,1.738,Abidjan,Côte D'Ivoire,5.63N,3.23W
1880-12-01,26.54,1.491,Abidjan,Côte D'Ivoire,5.63N,3.23W
1881-01-01,27.011,1.329,Abidjan,Côte D'Ivoire,5.63N,3.23W
1881-02-01,27.696,1.372,Abidjan,Côte D'Ivoire,5.63N,3.23W
1881-03-01,28.409,1.352,Abidjan,Côte D'Ivoire,5.63N,3.23W
1881-04-01,27.49,0.826,Abidjan,Côte D'Ivoire,5.63N,3.23W
1881-05-01,26.838,1.222,Abidjan,Côte D'Ivoire,5.63N,3.23W
1881-06-01,24.682,1.063,Abidjan,Côte D'Ivoire,5.63N,3.23W
1881-07-01,24.824,1.475,Abidjan,Côte D'Ivoire,5.63N,3.23W
1881-08-01,23.629,1.241,Abidjan,Côte D'Ivoire,5.63N,3.23W
